role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack
Junior,Data Analyst,50,20,3,3,7,44,16,2
Junior,Product Manager,34,29,4,2,13,27,39,5
Junior,Data Scientist,25,23,5,2,19,12,31,5
Senior,Software Engineer,31,21,4,5,17,23,23,5
Trainee,Data Scientist,52,24,5,3,13,44,11,3
Trainee,Database Administrator,29,4,1,3,12,9,30,4
Senior,System Administrator,24,12,1,5,7,41,18,2
Trainee,System Administrator,30,22,2,2,1,21,28,1
Junior,Data Scientist,51,20,5,3,1,38,20,1
Junior,Network Engineer,32,18,5,5,14,21,25,5
Junior,Product Manager,56,1,4,4,15,36,27,5
Trainee,Software Engineer,58,1,4,2,11,38,16,3
Junior,Data Analyst,34,24,4,1,9,19,8,2
Senior,UX Designer,57,14,5,4,17,9,20,5
Senior,UI Designer,34,4,5,2,4,9,33,2
Trainee,System Administrator,33,5,4,5,19,25,10,5
Senior,QA Tester,58,11,4,1,7,24,19,2
Senior,Product Manager,31,24,2,2,1,27,38,1
Trainee,UI Designer,30,28,4,1,9,12,15,2
Junior,Data Analyst,28,23,3,4,13,14,28,4
Junior,DevOps Engineer,23,13,1,5,2,5,0,1
Junior,Security Analyst,44,16,5,4,2,11,17,1
Trainee,UX Designer,42,24,3,5,15,18,21,4
Senior,System Administrator,44,13,5,1,17,31,7,4
Junior,UX Designer,50,24,2,1,13,10,6,3
Junior,Network Engineer,35,22,3,5,7,37,24,3
Trainee,Database Administrator,47,26,3,5,9,32,29,3
Junior,Database Administrator,26,2,1,5,12,1,33,4
Trainee,UI Designer,52,16,3,5,3,14,10,1
Senior,Database Administrator,46,6,2,2,15,35,14,4
Trainee,Database Administrator,52,14,1,2,7,4,34,3
Trainee,UX Designer,41,1,2,5,1,14,22,1
Trainee,Security Analyst,38,17,2,2,14,42,20,4
Trainee,DevOps Engineer,23,11,4,2,19,9,27,5
Senior,UI Designer,46,19,1,4,16,16,12,4
Senior,System Administrator,34,3,4,2,10,33,33,4
Junior,Software Engineer,49,11,4,5,1,23,37,2
Senior,QA Tester,27,29,3,1,5,9,5,1
Senior,UI Designer,24,5,5,4,3,29,3,1
Junior,Business Analyst,56,17,4,4,17,2,4,4
Senior,Network Engineer,39,26,4,3,18,36,39,5
Trainee,DevOps Engineer,32,22,1,3,19,2,5,4
Trainee,Network Engineer,41,7,4,2,18,39,20,5
Junior,UI Designer,26,10,5,3,16,4,27,5
Junior,UI Designer,40,28,2,3,2,27,2,1
Junior,Business Analyst,43,29,2,3,15,43,22,4
Trainee,Database Administrator,40,11,2,2,13,13,7,3
Senior,System Administrator,37,3,4,1,13,38,18,4
Trainee,Network Engineer,45,20,3,1,16,10,10,4
Junior,UI Designer,25,10,4,4,8,7,9,2
Senior,QA Tester,36,27,1,1,11,36,27,3
Senior,UX Designer,46,10,5,5,8,7,19,3
Trainee,System Administrator,56,14,2,4,10,11,27,3
Junior,QA Tester,35,12,2,4,1,14,28,1
Trainee,System Administrator,40,15,3,5,12,18,7,3
Senior,QA Tester,59,10,1,1,9,47,18,2
Trainee,Security Analyst,57,10,1,5,5,45,20,2
Trainee,DevOps Engineer,28,26,2,3,9,27,17,2
Junior,Database Administrator,51,19,3,5,16,6,8,4
Junior,QA Tester,40,1,5,5,18,39,3,4
Senior,Data Scientist,46,24,5,1,8,6,24,3
Trainee,QA Tester,37,29,3,2,11,29,33,4
Trainee,Software Engineer,29,26,1,3,19,17,8,5
Trainee,Software Engineer,39,10,3,4,4,23,8,1
Senior,Product Manager,49,2,4,2,10,5,17,3
Senior,Data Scientist,37,17,2,2,13,3,10,3
Junior,Database Administrator,40,24,1,2,14,2,12,3
Junior,Data Scientist,38,7,2,3,2,48,37,2
Junior,UX Designer,34,7,4,5,4,46,8,1
Trainee,Data Scientist,28,20,2,4,7,5,15,2
Trainee,UX Designer,48,27,5,3,19,25,3,5
Junior,Product Manager,31,9,2,1,17,43,33,5
Trainee,Product Manager,55,22,1,1,16,37,6,3
Junior,DevOps Engineer,57,2,3,3,13,10,14,3
Senior,Software Engineer,46,14,3,5,18,28,37,5
Junior,QA Tester,27,17,1,2,12,19,10,3
Senior,QA Tester,45,1,1,3,1,9,31,1
Trainee,Business Analyst,39,9,1,5,15,25,26,5
Junior,Business Analyst,44,20,1,5,3,47,29,2
Trainee,Data Analyst,27,21,2,2,6,26,16,2
Senior,System Administrator,50,19,5,1,14,49,35,5
Senior,DevOps Engineer,46,4,3,2,6,13,18,2
Senior,Data Analyst,38,28,4,4,1,35,6,1
Trainee,Data Analyst,45,8,2,5,6,11,20,2
Trainee,UI Designer,32,13,2,1,8,22,27,3
Trainee,UI Designer,47,4,1,1,15,20,2,3
Trainee,Network Engineer,55,9,3,5,14,7,13,4
Senior,Data Analyst,49,9,3,4,16,38,1,4
Senior,Data Scientist,24,22,1,5,16,8,28,5
Junior,System Administrator,32,18,4,2,19,23,17,5
Junior,DevOps Engineer,59,12,3,3,1,30,36,1
Trainee,Data Analyst,35,10,2,1,4,24,23,1
Senior,Database Administrator,47,11,1,1,10,16,11,2
Senior,Security Analyst,42,7,3,3,18,41,31,5
Senior,QA Tester,51,9,4,2,2,28,17,1
Junior,System Administrator,29,6,2,1,4,2,12,1
Junior,UI Designer,41,19,2,5,15,20,3,3
Senior,Network Engineer,53,16,3,1,4,7,22,1
Senior,QA Tester,43,15,1,4,16,13,9,4
Senior,UI Designer,28,7,4,2,15,38,4,3
Junior,UI Designer,30,16,4,5,18,15,39,5
Senior,System Administrator,22,5,1,1,7,17,13,1
Senior,UI Designer,50,16,1,4,15,30,33,5
Trainee,Security Analyst,29,1,4,1,11,10,27,3
Trainee,Product Manager,25,19,2,3,19,37,7,5
Junior,Network Engineer,56,5,1,4,8,19,15,2
Senior,Software Engineer,24,7,4,1,1,45,30,1
Senior,Product Manager,28,19,2,2,3,44,6,1
Trainee,Software Engineer,48,22,3,5,5,3,2,1
Junior,Business Analyst,22,5,2,5,18,19,28,5
Trainee,Database Administrator,48,29,4,1,12,30,35,4
Trainee,Business Analyst,37,17,2,1,12,19,38,4
Trainee,UI Designer,59,26,5,1,19,10,3,4
Trainee,DevOps Engineer,28,22,4,1,9,49,8,2
Senior,DevOps Engineer,44,8,1,5,11,0,16,3
Senior,Software Engineer,32,29,3,3,17,43,19,5
Trainee,QA Tester,54,29,2,3,16,17,13,4
Junior,System Administrator,57,1,3,5,4,38,28,2
Junior,UI Designer,58,2,5,3,10,43,12,3
Junior,System Administrator,38,15,3,4,15,32,35,5
Junior,Product Manager,56,20,1,2,19,35,16,5
Trainee,DevOps Engineer,26,28,4,2,3,17,3,1
Senior,Data Scientist,53,18,1,3,5,46,19,1
Junior,Network Engineer,24,11,4,1,11,30,10,3
Trainee,Product Manager,56,25,4,2,5,34,21,2
Junior,Database Administrator,35,10,2,1,7,38,7,1
Junior,Network Engineer,52,24,2,1,6,37,27,2
Trainee,Security Analyst,52,24,5,3,13,14,29,4
Senior,Product Manager,38,4,4,3,2,46,32,2
Senior,Software Engineer,45,5,2,2,19,5,32,5
Trainee,Security Analyst,44,4,2,2,11,7,35,4
Senior,UX Designer,39,13,3,4,5,39,26,2
Trainee,Product Manager,35,25,1,1,9,21,19,2
Trainee,Security Analyst,36,13,1,3,6,0,32,2
Trainee,UI Designer,36,18,1,4,17,12,24,5
Senior,Network Engineer,27,29,1,1,19,23,18,5
Trainee,Data Analyst,48,27,3,4,8,20,20,3
Junior,Data Analyst,36,24,5,4,7,44,32,3
Senior,UI Designer,57,2,4,1,5,42,2,1
Senior,UX Designer,29,16,1,1,15,3,13,4
Senior,Database Administrator,36,1,3,5,10,6,14,3
Senior,UX Designer,24,26,3,1,16,11,32,5
Junior,Software Engineer,34,19,1,5,9,12,21,3
Senior,DevOps Engineer,55,9,5,3,7,43,0,1
Senior,System Administrator,45,28,3,2,11,15,30,4
Trainee,Network Engineer,53,3,5,1,9,5,34,3
Senior,UX Designer,53,25,3,3,17,13,19,5
Junior,Data Scientist,51,7,4,3,9,47,31,3
Junior,Software Engineer,34,29,1,4,3,30,11,1
Junior,Business Analyst,22,10,3,5,8,35,15,2
Junior,QA Tester,55,1,2,5,19,36,7,5
Senior,Business Analyst,36,10,5,2,16,40,13,4
Senior,Database Administrator,35,21,4,5,7,34,17,2
Junior,Software Engineer,50,9,5,5,7,9,29,3
Junior,Network Engineer,55,28,4,5,13,16,32,5
Senior,Security Analyst,39,15,5,3,3,41,33,2
Junior,Product Manager,28,15,1,4,12,29,33,4
Trainee,System Administrator,50,3,3,3,8,43,6,2
Junior,QA Tester,52,25,4,2,13,6,5,3
Junior,Business Analyst,46,5,4,5,16,17,5,4
Trainee,QA Tester,59,9,4,1,7,18,21,2
Trainee,Data Scientist,35,26,2,1,4,14,7,1
Senior,Data Scientist,29,22,1,5,12,38,36,4
Senior,Security Analyst,48,9,5,1,17,43,14,4
Trainee,Database Administrator,23,23,3,5,1,21,25,1
Trainee,Data Scientist,38,7,1,4,17,38,38,5
Senior,Software Engineer,58,24,4,1,2,41,2,1
Junior,System Administrator,35,23,5,3,6,29,9,1
Trainee,Network Engineer,46,12,1,4,12,19,2,2
Senior,Security Analyst,51,25,5,3,11,31,29,4
Junior,Software Engineer,50,27,5,5,11,41,21,4
Trainee,Data Analyst,41,9,5,5,18,24,2,4
Junior,Product Manager,42,6,5,2,8,22,0,1
Senior,Product Manager,43,23,3,1,7,4,32,3
Trainee,Data Scientist,56,2,2,5,14,49,18,4
Junior,Data Analyst,58,9,1,3,16,40,35,5
Trainee,UX Designer,37,28,1,1,12,29,33,4
Junior,UX Designer,38,29,3,5,9,47,30,3
Senior,Network Engineer,37,17,2,5,16,38,23,5
Senior,Data Scientist,23,1,1,4,19,26,11,5
Trainee,Business Analyst,25,19,2,3,16,41,12,4
Junior,Software Engineer,42,28,1,4,9,36,15,2
Trainee,Data Scientist,55,6,5,4,13,6,15,4
Trainee,DevOps Engineer,51,5,2,5,5,4,19,2
Junior,QA Tester,27,2,3,5,19,14,26,5
Junior,Network Engineer,38,9,3,3,10,41,38,4
Junior,Product Manager,46,29,1,5,7,7,12,2
Senior,UX Designer,26,26,5,5,9,8,3,2
Trainee,UI Designer,26,14,3,1,14,10,31,4
Trainee,UX Designer,41,4,2,1,15,21,39,5
Senior,Network Engineer,37,4,1,5,13,33,33,4
Junior,Product Manager,58,21,2,1,10,34,38,4
Senior,Network Engineer,30,15,1,1,14,12,16,3
Senior,QA Tester,26,8,2,1,12,10,23,3
Senior,Product Manager,23,26,3,2,19,31,28,5
Trainee,Database Administrator,30,4,5,2,6,41,27,2
Senior,UI Designer,57,16,4,2,12,14,21,4
Trainee,Data Scientist,43,21,1,5,13,37,27,4
Trainee,Database Administrator,43,28,1,4,8,0,24,3
Trainee,Data Analyst,43,4,3,4,16,45,2,4
Junior,UI Designer,55,16,1,1,2,49,12,1
Trainee,Product Manager,50,22,1,4,7,23,30,3
Trainee,Product Manager,59,12,5,4,12,42,12,3
Junior,DevOps Engineer,54,16,1,4,7,39,17,2
Trainee,Security Analyst,39,19,5,2,19,21,36,5
Senior,DevOps Engineer,28,8,1,3,14,2,33,5
Senior,System Administrator,22,6,5,5,9,13,16,3
Trainee,DevOps Engineer,54,10,3,4,18,1,20,5
Junior,Software Engineer,22,5,4,4,11,31,35,4
Senior,Data Analyst,45,29,1,3,16,47,39,5
Junior,Database Administrator,25,18,5,3,19,37,18,5
Junior,QA Tester,25,10,5,4,11,32,11,3
Senior,Database Administrator,39,10,4,1,18,45,27,5
Junior,Database Administrator,48,7,3,4,11,41,10,3
Senior,UI Designer,53,18,4,5,4,5,36,2
Junior,Product Manager,54,1,1,4,18,40,27,5
Senior,System Administrator,49,7,3,2,19,38,34,5
Trainee,System Administrator,57,21,5,2,13,24,14,3
Senior,QA Tester,27,1,2,4,4,33,15,1
Senior,Data Analyst,37,15,1,5,10,10,6,2
Senior,UI Designer,55,4,3,3,5,45,2,1
Senior,UX Designer,44,28,4,3,3,36,30,2
Junior,Network Engineer,45,29,1,1,16,40,11,4
Trainee,DevOps Engineer,34,20,2,4,8,6,7,2
Senior,Network Engineer,39,10,1,4,7,45,24,2
Junior,Network Engineer,34,23,5,5,19,47,34,5
Trainee,Data Scientist,58,9,1,2,14,21,11,3
Trainee,Network Engineer,38,2,4,4,15,47,20,4
Trainee,System Administrator,36,28,2,3,17,38,25,5
Trainee,DevOps Engineer,39,14,4,3,1,9,1,1
Senior,DevOps Engineer,44,16,5,5,6,20,13,2
Senior,Software Engineer,51,1,1,2,15,5,3,3
Junior,Data Analyst,55,2,2,2,12,48,16,3
Junior,Data Scientist,25,7,5,4,2,0,4,1
Junior,Network Engineer,24,29,2,3,5,33,23,2
Trainee,Security Analyst,28,10,2,1,9,13,6,2
Trainee,UX Designer,39,22,5,3,14,35,22,4
Senior,Database Administrator,28,20,5,3,18,26,16,5
Trainee,Product Manager,27,1,3,5,8,8,11,2
Trainee,Software Engineer,43,13,2,1,2,5,10,1
Trainee,DevOps Engineer,22,1,2,5,9,30,10,2
Junior,DevOps Engineer,25,5,1,1,7,16,33,3
Junior,Business Analyst,50,16,4,2,18,42,36,5
Senior,Data Scientist,42,15,4,2,16,35,28,5
Trainee,Network Engineer,47,17,5,5,5,20,35,3
Trainee,Data Scientist,35,28,1,1,15,26,26,4
Senior,Business Analyst,30,23,3,4,5,40,21,2
Trainee,Database Administrator,33,16,2,3,11,27,1,2
Trainee,Data Scientist,27,13,2,5,14,15,35,5
Junior,DevOps Engineer,41,11,4,5,19,34,29,5
Senior,System Administrator,45,17,1,4,3,35,6,1
Senior,UI Designer,48,17,4,5,10,34,11,3
Senior,DevOps Engineer,59,2,4,4,6,44,2,1
Senior,Software Engineer,29,13,5,5,3,18,16,1
Junior,Data Analyst,22,14,4,2,2,20,31,1
Junior,Business Analyst,45,11,5,1,13,32,7,3
Trainee,UX Designer,28,28,3,4,18,22,22,5
Trainee,Product Manager,40,10,1,3,2,5,37,2
Trainee,UX Designer,43,3,3,3,15,31,29,5
Trainee,DevOps Engineer,56,29,3,3,5,21,14,1
Junior,Software Engineer,51,27,4,2,15,2,9,4
Senior,Network Engineer,50,17,4,4,17,34,37,5
Junior,DevOps Engineer,43,15,2,1,2,15,14,1
Trainee,Data Analyst,32,9,2,5,18,41,29,5
Junior,System Administrator,41,10,1,5,15,24,25,5
Senior,Database Administrator,50,8,4,5,3,16,13,1
Senior,Security Analyst,55,21,4,2,5,38,2,1
Junior,Product Manager,22,13,4,3,11,12,35,4
Junior,Data Analyst,52,27,2,5,9,27,25,3
Junior,Business Analyst,51,18,2,5,5,10,13,1
Trainee,Network Engineer,39,5,4,4,1,9,30,1
Junior,Business Analyst,38,6,4,3,14,38,13,4
Junior,DevOps Engineer,59,17,3,3,5,23,39,3
Junior,Software Engineer,35,11,4,4,8,37,9,2
Senior,Data Analyst,44,20,2,2,14,23,8,3
Senior,QA Tester,46,16,4,4,16,32,39,5
Trainee,Network Engineer,36,9,5,5,6,16,17,2
Trainee,Software Engineer,43,2,4,4,8,43,35,3
Senior,System Administrator,24,5,3,3,2,35,35,2
Senior,Network Engineer,40,1,3,3,19,34,11,5
Senior,Business Analyst,55,4,4,5,9,5,39,4
Junior,Network Engineer,56,4,4,4,5,15,2,1
Junior,Security Analyst,22,22,3,4,5,44,17,2
Senior,DevOps Engineer,42,26,4,4,19,27,6,5
Junior,Data Scientist,50,25,1,4,4,40,30,2
Junior,Business Analyst,27,3,5,4,16,31,0,4
Trainee,Security Analyst,58,9,4,3,16,25,30,5
Senior,Product Manager,22,22,2,3,16,10,12,4
Senior,UI Designer,22,23,3,3,7,24,28,3
Junior,Data Scientist,48,12,1,1,18,30,2,4
Senior,DevOps Engineer,42,10,1,2,1,20,28,1
Trainee,QA Tester,37,2,2,1,3,44,34,2
Trainee,Data Scientist,47,11,4,5,8,2,14,2
Trainee,Product Manager,37,10,5,2,1,11,20,1
Senior,Software Engineer,49,22,3,1,7,39,18,2
Senior,QA Tester,22,6,3,1,7,45,27,2
Senior,Business Analyst,57,18,2,4,8,40,3,2
Senior,QA Tester,31,2,1,1,19,24,12,5
Senior,Data Analyst,38,2,1,3,17,16,14,4
Trainee,Product Manager,44,10,4,1,11,37,38,4
Junior,Network Engineer,28,16,5,5,15,35,31,5
Trainee,Security Analyst,28,12,3,5,9,35,2,2
Senior,Data Scientist,36,1,4,5,17,18,29,5
Trainee,Data Analyst,55,21,5,3,11,43,19,3
Senior,Database Administrator,25,8,1,4,6,1,1,1
Senior,QA Tester,35,16,4,4,9,16,24,3
Trainee,Data Analyst,35,18,4,2,18,29,10,5
Senior,UX Designer,37,13,3,3,2,46,0,1
Junior,Product Manager,28,15,2,1,4,9,9,1
Senior,Security Analyst,53,21,4,4,18,34,16,5
Junior,System Administrator,40,12,4,2,1,35,29,1
Junior,Software Engineer,23,8,1,3,11,32,34,4
Senior,QA Tester,31,10,3,3,3,0,18,1
Trainee,Product Manager,38,14,1,3,8,17,33,3
Junior,System Administrator,58,5,5,5,5,3,31,3
Trainee,System Administrator,33,18,3,4,5,46,11,1
Junior,Database Administrator,27,19,5,4,11,26,16,3
Senior,DevOps Engineer,43,15,2,3,12,24,5,3
Senior,Security Analyst,53,6,1,1,9,27,12,2
Junior,Data Analyst,41,27,1,3,13,21,38,5
Senior,System Administrator,22,11,2,5,3,41,21,1
Junior,UX Designer,27,21,2,5,13,24,10,3
Senior,Database Administrator,40,11,3,4,11,16,6,3
Trainee,Product Manager,39,20,1,2,11,43,20,3
Senior,Database Administrator,27,20,3,1,7,11,0,1
Trainee,UI Designer,54,21,2,3,17,15,29,5
Senior,UI Designer,44,18,3,5,16,36,18,5
Trainee,Network Engineer,44,25,4,4,14,15,28,5
Senior,Database Administrator,47,18,4,5,1,16,34,2
Trainee,Network Engineer,34,10,5,4,11,30,19,3
Junior,QA Tester,28,2,1,1,13,14,35,4
Junior,Network Engineer,36,26,3,1,1,12,38,1
Trainee,Business Analyst,48,9,3,1,2,39,0,1
Senior,Data Analyst,47,14,3,3,9,26,22,3
Trainee,Business Analyst,54,19,4,2,13,20,30,4
Senior,System Administrator,36,10,3,4,5,1,34,2
Junior,Product Manager,57,23,3,4,9,7,21,3
Senior,QA Tester,48,4,3,2,13,41,6,3
Junior,Data Scientist,26,29,5,1,5,6,32,2
Senior,System Administrator,23,29,5,1,15,9,35,5
Senior,Data Analyst,54,6,2,4,7,3,6,1
Senior,UI Designer,37,14,1,3,14,42,26,4
Trainee,Security Analyst,44,4,5,2,16,40,1,4
Trainee,Network Engineer,59,26,5,5,6,35,16,2
Junior,DevOps Engineer,37,15,2,3,2,34,0,1
Junior,Product Manager,35,16,2,3,16,42,29,5
Trainee,Software Engineer,50,7,5,4,19,2,21,5
Junior,Security Analyst,47,17,4,5,5,17,27,2
Trainee,Business Analyst,56,19,2,4,4,45,32,2
Senior,Network Engineer,36,29,3,3,14,42,25,4
Junior,QA Tester,24,19,5,2,6,23,34,3
Junior,Business Analyst,44,17,5,4,8,31,10,2
Trainee,Product Manager,50,6,4,3,3,33,6,1
Junior,Business Analyst,55,29,4,4,4,1,27,2
Junior,Product Manager,54,11,1,5,1,1,24,1
Senior,Business Analyst,44,16,5,5,2,9,30,2
Junior,Security Analyst,28,25,2,2,13,22,2,3
Senior,Database Administrator,24,8,5,1,9,14,32,3
Trainee,UX Designer,53,11,2,2,12,11,33,4
Junior,Security Analyst,52,7,5,4,10,42,20,3
Senior,Database Administrator,39,26,2,2,10,16,36,4
Trainee,Data Scientist,28,24,3,1,18,17,18,5
Junior,System Administrator,22,22,1,1,12,13,36,4
Trainee,System Administrator,35,25,4,2,16,16,20,5
Junior,Data Analyst,53,19,5,1,6,14,13,2
Trainee,Network Engineer,27,26,4,1,10,11,9,2
Trainee,Security Analyst,31,10,3,4,15,15,6,4
Senior,Security Analyst,28,9,1,1,9,31,28,3
Trainee,Software Engineer,47,4,5,1,2,22,39,2
Junior,Software Engineer,55,23,4,5,18,37,7,5
Junior,Data Analyst,51,15,4,5,12,33,38,5
Senior,DevOps Engineer,57,13,4,2,3,33,12,1
Junior,System Administrator,42,25,4,1,7,15,18,2
Junior,DevOps Engineer,38,2,3,4,9,33,10,2
Junior,Network Engineer,54,2,4,2,8,39,1,1
Trainee,Product Manager,31,16,4,1,6,6,5,1
Trainee,Product Manager,33,9,5,1,1,32,28,1
Junior,UI Designer,37,28,5,1,14,3,4,3
Senior,Business Analyst,53,13,1,3,16,42,29,5
Trainee,Software Engineer,36,3,2,5,16,6,38,5
Senior,UI Designer,48,9,1,4,4,17,35,2
Junior,Data Scientist,49,13,1,3,6,3,26,2
Junior,Data Analyst,38,21,3,3,15,48,17,4
Trainee,Data Analyst,23,22,5,4,8,10,35,3
Junior,Product Manager,57,2,1,3,1,42,15,1
Trainee,Security Analyst,28,8,3,2,13,19,4,3
Junior,System Administrator,34,27,5,4,18,10,8,5
Junior,DevOps Engineer,36,9,5,5,18,14,33,5
Trainee,Software Engineer,46,16,3,2,13,45,33,4
Trainee,UI Designer,44,2,4,5,14,16,35,5
Trainee,DevOps Engineer,43,6,3,3,11,33,30,4
Junior,Security Analyst,47,22,1,3,7,49,19,2
Junior,UI Designer,54,8,1,1,18,47,16,5
Senior,Database Administrator,32,26,1,4,4,11,19,1
Trainee,Business Analyst,31,28,2,5,17,41,27,5
Junior,Data Scientist,46,5,5,4,19,27,20,5
Junior,Data Scientist,58,9,5,1,14,47,18,4
Trainee,DevOps Engineer,59,1,3,1,10,34,2,2
Senior,DevOps Engineer,45,9,3,3,6,7,29,2
Trainee,DevOps Engineer,54,10,2,3,18,26,4,4
Senior,UI Designer,38,23,4,3,4,21,5,1
Junior,Business Analyst,45,4,5,5,11,23,2,3
Senior,Database Administrator,58,3,2,4,13,1,23,4
Junior,UX Designer,23,10,1,3,8,30,0,1
Trainee,DevOps Engineer,53,15,4,1,10,21,35,4
Trainee,Database Administrator,45,11,3,1,11,0,14,3
Trainee,System Administrator,30,14,2,4,3,13,37,2
Senior,Network Engineer,25,6,4,5,15,24,17,4
Junior,Database Administrator,38,12,3,4,8,35,22,3
Trainee,Security Analyst,38,13,2,3,18,35,28,5
Trainee,Network Engineer,51,17,2,1,1,40,21,1
Junior,Software Engineer,32,16,3,5,8,2,23,3
Trainee,Software Engineer,42,3,5,5,3,4,12,1
Junior,Security Analyst,42,2,5,3,1,0,32,1
Junior,Database Administrator,39,11,5,1,16,18,21,5
Junior,UI Designer,50,29,4,3,9,32,34,3
Junior,Security Analyst,45,9,3,5,17,41,16,5
Junior,Network Engineer,31,3,4,4,16,29,21,5
Senior,Network Engineer,38,29,5,4,6,11,4,1
Trainee,DevOps Engineer,39,18,2,1,7,9,24,2
Senior,Product Manager,41,20,3,1,16,33,5,4
Trainee,Data Analyst,58,15,4,1,8,15,16,2
Senior,UX Designer,39,14,4,5,10,39,30,4
Junior,Network Engineer,38,2,2,3,14,45,16,4
Trainee,System Administrator,30,17,3,4,11,28,32,4
Trainee,Security Analyst,35,22,4,1,2,14,38,2
Senior,Business Analyst,50,26,3,5,12,47,36,4
Senior,Product Manager,52,8,4,5,13,10,3,3
Trainee,Network Engineer,25,10,2,2,15,43,13,4
Senior,Security Analyst,39,26,5,5,12,33,12,3
Senior,Data Scientist,41,18,3,2,13,35,26,4
Senior,Product Manager,30,25,3,1,8,29,23,2
Junior,UI Designer,34,29,1,2,16,34,26,5
Junior,UX Designer,36,19,1,5,3,8,7,1
Senior,QA Tester,48,8,4,5,13,17,38,5
Senior,QA Tester,36,28,3,2,12,18,20,3
Junior,DevOps Engineer,49,8,3,4,19,38,10,5
Junior,DevOps Engineer,58,3,1,4,2,3,30,1
Trainee,UI Designer,40,3,5,5,1,5,26,1
Trainee,Business Analyst,47,12,4,2,8,32,26,3
Junior,DevOps Engineer,47,22,1,3,9,31,7,2
Senior,Data Analyst,46,17,4,4,8,15,32,3
Senior,Network Engineer,47,4,5,1,17,10,11,4
Senior,UX Designer,47,17,4,2,9,21,34,3
Senior,Database Administrator,49,14,2,4,6,35,33,3
Trainee,Security Analyst,39,19,4,2,15,49,15,4
Junior,Database Administrator,53,9,2,5,13,22,35,5
Senior,UI Designer,24,21,2,1,12,25,1,2
Trainee,Software Engineer,23,12,2,5,13,30,11,3
Senior,Security Analyst,54,5,3,2,7,28,26,2
Junior,Security Analyst,40,11,1,1,18,4,16,5
Trainee,Data Scientist,38,20,5,2,14,37,19,4
Junior,UI Designer,54,3,2,4,11,24,20,3
Junior,UI Designer,33,21,2,4,14,33,29,4
Trainee,QA Tester,24,15,3,2,17,11,19,5
Trainee,System Administrator,47,14,2,1,2,21,7,1
Trainee,Database Administrator,56,11,3,4,19,8,17,5
Trainee,Business Analyst,29,20,2,3,16,19,17,4
Trainee,System Administrator,57,8,1,4,10,28,17,3
Trainee,Data Analyst,28,4,2,1,8,43,1,1
Trainee,Software Engineer,57,27,3,4,5,28,11,1
Senior,Security Analyst,37,12,1,4,7,44,31,3
Junior,QA Tester,45,8,4,5,13,26,7,3
Trainee,Software Engineer,22,6,4,4,16,16,9,4
Senior,Security Analyst,46,15,3,2,5,4,10,1
Senior,Data Analyst,31,12,3,1,16,44,13,4
Senior,System Administrator,37,16,3,4,15,12,25,5
Junior,UI Designer,37,16,5,3,9,41,29,3
Trainee,DevOps Engineer,29,27,1,5,12,14,3,3
Senior,Database Administrator,50,21,1,4,8,14,38,3
Junior,DevOps Engineer,49,20,1,3,13,17,10,3
Junior,Network Engineer,27,20,1,3,5,49,23,2
Junior,Product Manager,37,28,1,3,14,1,21,4
Senior,Data Scientist,41,4,4,2,16,22,2,4
Trainee,Business Analyst,37,11,3,1,11,42,36,4
Senior,Data Analyst,28,13,5,3,12,12,1,3
Senior,Data Scientist,35,29,2,2,15,42,11,4
Trainee,Network Engineer,47,9,2,2,12,3,20,3
Trainee,Network Engineer,47,4,5,1,9,46,4,2
Trainee,Business Analyst,35,12,5,1,1,24,6,1
Junior,Security Analyst,28,9,3,1,3,10,3,1
Trainee,Data Scientist,54,13,3,4,12,49,35,4
Senior,System Administrator,47,16,5,3,13,47,21,4
Trainee,Business Analyst,41,26,3,3,6,41,28,2
Senior,Network Engineer,24,6,2,4,10,11,8,2
Junior,System Administrator,25,10,5,5,10,12,25,4
Senior,UI Designer,47,13,3,1,16,8,11,4
Senior,QA Tester,32,7,1,3,1,44,0,1
Trainee,System Administrator,23,28,3,2,16,37,7,4
Trainee,Security Analyst,35,26,3,3,4,5,32,2
Senior,DevOps Engineer,51,19,5,5,6,42,3,1
Trainee,Data Scientist,33,24,1,4,19,42,13,5
Junior,Security Analyst,47,19,5,4,2,9,28,2
Junior,Product Manager,54,17,3,3,18,22,13,5
Trainee,Database Administrator,34,13,2,4,10,14,8,2
Junior,UX Designer,35,13,1,1,4,44,8,1
Trainee,Network Engineer,45,26,4,3,1,22,25,1
Senior,Database Administrator,55,28,5,3,15,39,16,4
Senior,Database Administrator,47,21,2,2,10,36,3,2
Junior,Business Analyst,42,2,2,1,18,33,2,4
Trainee,Data Analyst,49,10,3,5,16,15,28,5
Trainee,Product Manager,57,22,4,1,13,44,24,4
Junior,DevOps Engineer,23,13,1,1,15,40,20,4
Senior,System Administrator,30,26,4,3,2,46,11,1
Junior,QA Tester,44,9,3,2,4,31,0,1
Senior,Security Analyst,36,1,2,4,1,37,0,1
Trainee,UI Designer,34,14,3,4,7,39,6,2
Senior,UX Designer,44,29,2,4,11,45,9,3
Junior,Software Engineer,38,16,4,2,10,4,14,3
Trainee,Product Manager,23,20,4,4,1,16,39,2
Junior,Database Administrator,41,15,3,5,11,21,10,3
Junior,QA Tester,41,1,2,2,10,38,22,3
Senior,Software Engineer,24,17,2,2,14,40,12,3
