Age,Gender,Education,Skills,Experience_Years,Previous_Companies,Certifications,Job_Role_Applied,Job_Description,Fit_Score
26,F,B.Tech CS,"PyTorch, Machine Learning, SQL, Data Analysis",12,"TechSoft, WebWorks","Data Analysis, Machine Learning",Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
22,F,B.Tech Computer,"Deep Learning, SQL, PyTorch, Oracle Java Cert, Python",12,DataCorp,Agile,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
32,F,MBA,"Java, Agile, AWS Certified",9,"GlobalCorp, CodeFactory",,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
30,F,B.Tech CS,"TensorFlow, Python, Deep Learning, PyTorch",12,"AI Labs, AI Solutions, FinTech Ltd","Deep Learning, Data Analysis",Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
39,M,M.Sc AI,"PyTorch, Leadership, SQL",7,"AI Labs, CodeFactory",Oracle Java Cert,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
31,F,B.Tech Computer,"Python, Machine Learning, Data Analysis",7,"AI Solutions, AI Labs, TechSoft","Agile, Deep Learning",Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
37,M,B.Tech CS,"Python, Data Analysis",15,"WebWorks, TechSoft, AI Labs",AWS Certified,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
40,M,B.Sc IT,"Machine Learning, NLP, SQL",13,WebWorks,,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
23,F,B.Tech Computer,"Oracle Java Cert, Data Analysis, SQL, Java",2,"FinTech Ltd, GlobalCorp, DataCorp",,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.83
36,F,B.Sc IT,"Python, Agile, TensorFlow, Java, PyTorch",2,"GlobalCorp, TechSoft",,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.84
26,F,B.Tech Computer,"Leadership, Machine Learning, Deep Learning, SQL",13,"GlobalCorp, FinTech Ltd",,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
25,F,B.Tech CS,"Java, NLP",5,"AI Labs, FinTech Ltd","Deep Learning, Java",Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.93
29,F,B.Tech Computer,"Leadership, Project Management, Machine Learning, NLP",10,FinTech Ltd,Machine Learning,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
36,M,B.Tech CS,"TensorFlow, SQL, Leadership, AWS Certified, Machine Learning",9,"CodeFactory, DataCorp, TechSoft","SQL, Deep Learning",Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
24,M,B.Tech Computer,"Java, Deep Learning, Data Analysis",8,"AI Solutions, FinTech Ltd",,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
25,M,MBA,"NLP, Machine Learning, Project Management",5,"DataCorp, WebWorks, AI Labs","AWS Certified, SQL",Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.98
22,M,B.Tech CS,"TensorFlow, Leadership, Oracle Java Cert, NLP, Deep Learning",10,DataCorp,"Data Analysis, SQL",AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
28,M,MBA,"SQL, NLP, Machine Learning, TensorFlow",1,"FinTech Ltd, AI Labs, AI Solutions",Python,Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.76
23,F,B.Sc IT,"Data Analysis, AWS Certified, Project Management, SQL",1,"AI Labs, AI Solutions, WebWorks",Oracle Java Cert,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.8
40,M,B.Tech Computer,"Deep Learning, SQL, Data Analysis, NLP",4,"AI Labs, WebWorks, CodeFactory","Deep Learning, Project Management",Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
